#symbol	cg	fbgn	img_count	bp_count
1360{}505	TE19842	FBti0019842	4	1
140up	CG9852	FBgn0010340	9	3
26-29kD-proteinase	CG8947	FBgn0028967	26	6
312	CG9166	FBgn0029514	4	1
412{}878	TE18870	FBti0018870	35	10
5-HT1A	CG16720	FBgn0004168	4	1
5-HT2	CG1056	FBgn0013743	33	8
5-HT7	CG12073	FBgn0004573	4	1
a6	CG3771	FBgn0023130	8	1
Aac11	CG6582	FBgn0027885	4	1
Aats-ala	CG13391	FBgn0027094	12	12
Aats-ala-m	CG4633	FBgn0028962	10	3
Aats-asp	CG3821	FBgn0002069	4	1
Aats-ile	CG11471	FBgn0027086	12	22
Aats-phe	CG13348	FBgn0020766	13	3
Aats-ser	CG4938	FBgn0021750	4	1
Aats-thr	CG5353	FBgn0027081	20	19
aay	CG3705	FBgn0023129	47	20
abd-A	CG10325	FBgn0000014	20	13
Abi	CG9749	FBgn0020510	4	1
abs	CG14637	FBgn0015331	4	1
ac	CG3796	FBgn0000022	36	9
Ac78C	CG10564	FBgn0024150	45	7
Ace	CG17907	FBgn0000024	22	3
Acer	CG10593	FBgn0016122	22	6
Acf1	CG1966	FBgn0027620	36	22
achi	CG8819	FBgn0033749	19	11
Ack	CG14992	FBgn0028484	10	3
Acox57D-d	CG9709	FBgn0034629	14	4
Acp36DE	CG7157	FBgn0011559	4	1
Acp53Ea	CG8622	FBgn0015584	4	1
Acp65Aa	CG10297	FBgn0020765	6	2
Act57B	CG10067	FBgn0000044	11	3
Act57B	CG10067	FBgn0000044	13	3
Act5C	CG4027	FBgn0000042	5	9
Act87E	CG18290	FBgn0000046	10	15
Actn	CG4376	FBgn0000667	22	14
Actr13E	CG11678	FBgn0011741	4	1
ACXD	CG5712	FBgn0040507	11	3
Adam	CG12131	FBgn0027619	28	31
ade2	CG9127	FBgn0000052	24	13
ade5	CG3989	FBgn0020513	21	16
Adf1	CG15845	FBgn0000054	32	17
Adgf-A	CG5992	FBgn0036752	43	18
Adgf-D	CG9621	FBgn0038172	8	1
Adk1	CG17146	FBgn0022709	4	1
Adk1	CG17146	FBgn0022709	4	1
Adk2	CG3140	FBgn0022708	18	16
Ady43A	CG1851	FBgn0026602	4	1
