BL #	TRiP #	CG #	FBgn	Vector	Hairpin Loc.
35644	GLV21008	CG10325	FBgn0000014	VALIUM21	attP2
28739	JF03167	CG10325	FBgn0000014	VALIUM10	attP2
35647	GLV21012	CG11648	FBgn0000015	VALIUM21	attP2
26746	JF02309	CG11648	FBgn0000015	VALIUM10	attP2
35327	GL00234	CG4032	FBgn0000017	VALIUM22	attP2
	HMS02275	CG4032	FBgn0000017	VALIUM20	attP40
28325	JF02960	CG4032	FBgn0000017	VALIUM10	attP2
29586	JF03265	CG3796	FBgn0000022	VALIUM10	attP2
25958	JF01978	CG17907	FBgn0000024	VALIUM10	attP2
29335	JF02497	CG9151	FBgn0000028	VALIUM10	attP2
28688	JF03103	CG5610	FBgn0000036	VALIUM10	attP2
	HMC02343	CG4356	FBgn0000037	VALIUM20	attP2
27571	JF02725	CG4356	FBgn0000037	VALIUM10	attP2
31883	JF02158	CG11348	FBgn0000038	VALIUM10	attP2
27493	JF02643	CG6844	FBgn0000039	VALIUM10	attP2
31551	JF01113	CG10067	FBgn0000044	VALIUM1	attP2
36857	HMS00303	CG7478	FBgn0000045	VALIUM20	attP2
36686	HMS01574	CG9127	FBgn0000052	VALIUM20	attP2
31500	HM04004	CG15845	FBgn0000054	VALIUM1	attP2
28680	JF03095	CG15845	FBgn0000054	VALIUM10	attP2
28627	JF03042	"CG3484,CG3481"	"FBgn0000056,FBgn00"	VALIUM10	attP2
26747	JF02310	CG3935	FBgn0000061	VALIUM10	attP2
36658	HMS01546	CG7643	FBgn0000063	VALIUM20	attP2
35283	GL00184	CG7643	FBgn0000063	VALIUM22	attP2
26301	JF02071	CG6058	FBgn0000064	VALIUM10	attP2
33416	HMS00297	CG2198	FBgn0000071	VALIUM20	attP2
38523	HMS01719	CG5730	FBgn0000083	VALIUM20	attP40
38272	HMS01720	CG9579	FBgn0000084	VALIUM20	attP40
	HMS02294	"CG9579,CG33487,CG"	"FBgn0000084,FBgn00"	VALIUM20	attP2
35404	GL00324	CG3166	FBgn0000097	VALIUM22	attP2
34909	HMS01256	CG3166	FBgn0000097	VALIUM20	attP2
26759	JF02323	CG3166	FBgn0000097	VALIUM10	attP2
	HMS02207	CG8376	FBgn0000099	VALIUM20	attP2
26748	JF02311	CG8376	FBgn0000099	VALIUM10	attP2
31370	JF01335	CG7490	FBgn0000100	VALIUM1	attP2
39013	HMS01931	CG7727	FBgn0000108	VALIUM20	attP40
28043	JF02878	CG7727	FBgn0000108	VALIUM10	attP2
	HMC02374	CG31762	FBgn0000114	VALIUM20	attP2
35394	GL00314	CG31762	FBgn0000114	VALIUM22	attP2
38983	HMS01899	CG31762	FBgn0000114	VALIUM20	attP40
27052	JF02378	CG6025	FBgn0000115	VALIUM10	attP2
	HMS02262	CG32031	FBgn0000116	VALIUM20	attP2
35221	GL00102	CG32031	FBgn0000116	VALIUM22	attP2
31959	JF02699	CG32031	FBgn0000116	VALIUM10	attP2
35004	HMS01414	CG11579	FBgn0000117	VALIUM20	attP2
31304	JF01251	CG11579	FBgn0000117	VALIUM1	attP2
31305	JF01252	CG11579	FBgn0000117	VALIUM1	attP2
31313	JF01260	CG5912	FBgn0000119	VALIUM1	attP2
31473	JF01261	CG5912	FBgn0000119	VALIUM1	attP2
36777	JF02392	CG5962	FBgn0000121	VALIUM20	attP2
36772	JF02290	CG5962	FBgn0000121	VALIUM20	attP2
31272	JF01213	CG5962	FBgn0000121	VALIUM1	attP2
31273	JF01214	CG5962	FBgn0000121	VALIUM1	attP2
31895	JF02183	CG3258	FBgn0000137	VALIUM10	attP2
35388	GL00307	CG6677	FBgn0000139	VALIUM22	attP2
35224	GL00108	CG6875	FBgn0000140	VALIUM22	attP2
28741	JF03169	CG6875	FBgn0000140	VALIUM10	attP2
35201	GL00076	CG6137	FBgn0000146	VALIUM22	attP2
33728	HMS00611	CG6137	FBgn0000146	VALIUM20	attP2
39026	HMS01945	CG6137	FBgn0000146	VALIUM20	attP40
31606	JF01390	CG6137	FBgn0000146	VALIUM1	attP2
	GL01136	CG3068	FBgn0000147	VALIUM22	attP2
	HMJ02205	CG3068	FBgn0000147	VALIUM20	attP40
35763	HMS01511	CG3068	FBgn0000147	VALIUM20	attP40
	GL00166	CG3068	FBgn0000147	VALIUM22	attP2
31704	HM04011	CG3068	FBgn0000147	VALIUM1	attP2
35145	GL00013	CG2210	FBgn0000150	VALIUM22	attP2
	HMJ02099	CG2210	FBgn0000150	VALIUM20	attP40
33712	HMS00591	CG2210	FBgn0000150	VALIUM20	attP2
27511	JF02661	CG7811	FBgn0000153	VALIUM10	attP2
29337	JF02499	CG3629	FBgn0000157	VALIUM10	attP2
33631	HMS00029	CG10422	FBgn0000158	VALIUM20	attP2
39072	HMS01992	CG5055	FBgn0000163	VALIUM20	attP40
35002	HMS01412	CG5055	FBgn0000163	VALIUM20	attP2
38213	GL00654	CG5055	FBgn0000163	VALIUM22	attP40
31522	JF01078	CG5055	FBgn0000163	VALIUM1	attP2
31523	JF01079	CG5055	FBgn0000163	VALIUM1	attP2
35478	GL00407	CG1034	FBgn0000166	VALIUM22	attP2
33886	HMS00824	CG1034	FBgn0000166	VALIUM20	attP2
28586	HM05074	CG1034	FBgn0000166	VALIUM10	attP2
28721	JF03148	CG18319	FBgn0000173	VALIUM10	attP2
28341	JF02976	CG3578	FBgn0000179	VALIUM10	attP2
27691	JF02771	CG4722	FBgn0000180	VALIUM10	attP2
34790	HMS00099	CG3644	FBgn0000181	VALIUM20	attP2
34997	HMS01407	CG4824	FBgn0000182	VALIUM20	attP2
35631	GL00478	CG4824	FBgn0000182	VALIUM22	attP40
35405	GL00325	CG6605	FBgn0000183	VALIUM22	attP2
28571	HM05057	CG6605	FBgn0000183	VALIUM10	attP2
33641	HMS00042	CG11491	FBgn0000210	VALIUM20	attP2
27272	JF02585	CG11491	FBgn0000210	VALIUM10	attP2
34520	HMS00050	CG5942	FBgn0000212	VALIUM20	attP2
35211	GL00090	CG5942	FBgn0000212	VALIUM22	attP2
31712	HM04019	CG5942	FBgn0000212	VALIUM1	attP2
36828	GL01064	CG14025	FBgn0000228	VALIUM22	attP2
35594	GL00431	CG5680	FBgn0000229	VALIUM22	attP2
36690	HMS01579	CG5680	FBgn0000229	VALIUM20	attP2
36643	GL00603	CG5680	FBgn0000229	VALIUM22	attP40
32977	HMS00777	CG5680	FBgn0000229	VALIUM20	attP2
31476	JF01274	CG5680	FBgn0000229	VALIUM1	attP2
31323	JF01275	CG5680	FBgn0000229	VALIUM1	attP2
35711	GLV21076	CG12653	FBgn0000233	VALIUM21	attP2
29453	JF03389	CG12653	FBgn0000233	VALIUM10	attP2
34889	HMS01234	CG9242	FBgn0000239	VALIUM20	attP2
31055	JF01503	CG9242	FBgn0000239	VALIUM1	attP2
35637	GL00484	CG6500	FBgn0000242	VALIUM22	attP2
29454	JF03390	CG6500	FBgn0000242	VALIUM10	attP2
38288	HMS01743	CG9379	FBgn0000244	VALIUM20	attP2
37484	GL00627	CG5848	FBgn0000250	VALIUM22	attP40
34775	HMS00084	CG5848	FBgn0000250	VALIUM20	attP2
31713	HM04020	CG5848	FBgn0000250	VALIUM1	attP2
34609	HMS01318	CG8472	FBgn0000253	VALIUM20	attP2
32922	HMS00712	CG3399	FBgn0000256	VALIUM20	attP2
	GLC01358	CG12230	FBgn0000257	VALIUM22	attP40
34007	HMS00972	CG12230	FBgn0000257	VALIUM20	attP2
35136	GL00003	CG17520	FBgn0000258	VALIUM22	attP2
31645	JF01436	CG17520	FBgn0000258	VALIUM1	attP2
34939	HMS00058	CG15224	FBgn0000259	VALIUM20	attP2
35385	GL00303	CG15224	FBgn0000259	VALIUM22	attP2
31254	JF01195	CG15224	FBgn0000259	VALIUM1	attP2
34020	HMS00990	CG6871	FBgn0000261	VALIUM20	attP2
31894	JF02173	CG6871	FBgn0000261	VALIUM10	attP2
35169	GL00038	CG4379	FBgn0000273	VALIUM22	attP2
31599	JF01188	CG4379	FBgn0000273	VALIUM1	attP2
31277	JF01218	CG4379	FBgn0000273	VALIUM1	attP2
31243	JF01756	CG12066	FBgn0000274	VALIUM1	attP2
31656	JF01448	CG12066	FBgn0000274	VALIUM1	attP2
	HMJ02105	CG6384	FBgn0000283	VALIUM20	attP40
33944	HMS00895	CG6384	FBgn0000283	VALIUM20	attP2
33903	HMS00845	CG6384	FBgn0000283	VALIUM20	attP2
29549	JF03226	CG4881	FBgn0000287	VALIUM10	attP2
34668	HMS01145	CG8367	FBgn0000289	VALIUM20	attP2
29359	JF02523	CG8367	FBgn0000289	VALIUM10	attP2
25856	JF01877	CG12345	FBgn0000303	VALIUM10	attP2
33365	HMS00237	"CG5813,CG42231"	"FBgn0000307,FBgn00"	VALIUM20	attP2
34523	HMS00550	CG9553	FBgn0000308	VALIUM20	attP2
