Affy drosophila 2	FlyBaseName gene
1633327_at	CG11023
1637410_s_at	l(2)gl
1631795_at	CG2657
1626140_at	CG2657
1627835_a_at	CG31973
1628243_at	dbr
1634650_at	galectin
1626991_at	CG11374
1627446_at	net
1637327_at	CG11376
1633661_at	CG11377
1630900_at	Nhe1
1624083_s_at	M(2)21AB
1627484_at	CG13694
1634583_s_at	CG4822
1627484_at	CG4822
1641004_a_at	CG4822
1641004_a_at	CG3164
1632852_s_at	Gs1
1639359_at	CG31976
1631599_at	CG31976
1635578_at	CG31976
1631599_at	CG31975
1635578_at	CG31975
1639359_at	CG31974
1628565_at	CG11454
1626064_at	CG42399
1640777_at	CG42399
1638095_at	CG3709
1634783_s_at	CG11455
1632171_a_at	CG3436
1633301_at	CG3436
1627824_at	CG33635
1624012_at	spen
1641518_a_at	spen
1624012_at	mRpL10
1641337_at	CG11617
1627598_at	CG11490
1636513_a_at	kis
1629751_at	CG13693
1634798_at	Rpp30
1636129_s_at	CG3645
1625452_at	CG17075
1624987_at	CG3345
1623926_at	mbm
1627337_at	CG11555
1631919_at	CG17078
1634442_at	smo
1635670_at	CG11601
1641294_a_at	CG3625
1623953_at	CG11592
1630529_at	CG11562
1625231_at	U2af38
1630076_at	Hop
1622909_at	Pi3K21B
1630007_s_at	Plc21C
1639338_at	CG11912
1624137_at	CG11911
1626718_at	CG33127
1623097_at	CG31920
	CG33992
1629289_at	CG31921
1623516_s_at	Ent1
1639333_at	al
1634084_at	CG4213
1627924_at	RpI135
1634403_at	alpha-Adaptin
1638600_at	ebi
1633171_at	CG13690
1623606_at	RpLP1
1637226_at	CG11885
1623065_at	CG13692
1627476_at	BBS8
1625970_at	ex
1639387_s_at	crq
1637650_at	CG4164
1631360_at	CG4133
1641597_a_at	CG4297
1638598_at	MED15
1623605_a_at	cbt
1632698_at	ush
1636282_s_at	lwr
1636639_at	Spp
1625023_a_at	nAcRbeta-21C
1638915_at	Ets21C
1632552_at	Oseg3
1625763_at	CG2789
1625980_at	CG11835
1635874_at	CG2794
1632721_at	Nle
1633234_at	CG2807
1628514_at	Ipk2
1639768_at	CG2813
1632646_at	Ptth
1634438_at	Pph13
1630801_at	Gsc
1623728_at	CG13689
1634263_at	lectin-21Cb
1634808_at	lectin-21Ca
	CG2839
1640627_at	ds
1631238_at	Hsp60B
1639862_at	Eaat2
1635114_a_at	GABA-B-R3
1623134_at	CG12506
1639236_at	CG13946
1628376_x_at	CG13947
1631563_at	Gr21a
1640156_at	CG3544
1635406_at	Pkg21D
1638348_at	Nnf1b
1633791_at	KH1
1635955_at	CG3883
1631984_at	CG3639
1634835_at	CG15880
1633099_at	CG15880
1633099_at	CG3876
1631116_at	Clp
1633012_at	CG3662
1631116_at	CG3662
1639296_at	CG3862
1624864_s_at	dock
	drongo
1623693_a_at	drongo
1623993_at	drongo
1623993_at	CG4291
1634940_at	kraken
1627467_at	CG13949
1635519_at	CG13950
1629387_s_at	aru
1632223_at	dbe
1633750_s_at	PNUTS
1623583_at	PNUTS
1623862_at	ninaA
1635201_at	CG15824
1628699_at	Lsp1beta
1626739_s_at	GluRIIC
1628782_at	CG4341
1637378_s_at	ia2
1635042_s_at	ia2
1625915_at	CG4375
1624028_at	CG4415
1638189_s_at	S
1631268_at	ast
1641676_at	Atg4
1623838_s_at	CG4629
1627535_at	CG34016
1626738_at	CG4644
1640988_at	CG14339
1629810_at	CG14340
