transformant id	construct id	library	cg number	on targets 	off targets	s19	can repeats	viability	chromosome nr	status	fb numbers	synonyms
836	37	GD	CG5819	1	0	1	2	viable	3	available	"
FBgn0034717"	"
CT18212
tartan/capricious-like"
837	37	GD	CG5819	1	0	1	2	viable	1	available	FBgn0034717	"CT18212
tartan/capricious-like"
839	38	GD	CG7121	1	0	1	2	viable	2	available	FBgn0026760	"CT22017
tehao
dToll5
dTLR5
Tehao
toll receptor
Tho
toll
Toll-5
Tl-5
Toll 5"
841	44	GD	CG4007	1	0	1	3	sterile	3	available	"FBgn0022790
FBgn0082206
FBgn0021861
FBgn0020391"	"l(2)k14301
DmHD-434
DNRK
Drosophila neurospecific receptor kinase
Dnrk
ROR2
HD-434
anon-WO2004063362.79
Neurospecific receptor kinase
nrtk_dros
neurospecific receptor tyrosine kinase
nrk
Nrk"
842	45	GD	CG14396	1	0	1	2	sterile	2	available	"FBgn0032930
FBgn0022789
FBgn0032931
FBgn0011829"	"DRET
DRet
D-ret
dRet
Ret oncogene
dRET
DmHD-59
Reto
CG1061
RET
Ret
MEN2
ret
Dret
HD-59"
843	45	GD	CG14396	1	0	1	2	viable	3	available	"FBgn0032931
FBgn0022789
FBgn0011829
FBgn0032930"	"D-ret
DmHD-59
DRET
ret
dRET
Dret
DRet
Ret
RET
dRet
Reto
Ret oncogene
CG1061
HD-59
MEN2"
845	47	GD	CG31867	1	0	1	2	viable	3	available	"FBgn0063771
FBgn0063617
FBgn0051867"	"BcDNA:AT02643
CG6275"
846	47	GD	CG31867	1	0	1	2	viable	2	available	"FBgn0063617
FBgn0051867
FBgn0063771"	"BcDNA:AT02643
CG6275"
848	49	GD	CG7904	1	0	1	2	viable	2	available	"FBgn0003169
FBgn0004920
FBgn0000467
FBgn0011375
FBgn0010942
FBgn0004912"	"Atr-II
dlhC
TGF-beta
PUNT
pun
punt
Punt
Activin-A-receptor-88CD
dorsal holes C
put
Atr88CD
AtrII
atrII
activin receptor type II
activin receptor
Act-r
Atr
Tgf-r
TGF-beta-type-receptor-like
Put
l(3)10460
DPP receptor
l(3)j5A5
STK-C
TGF-B"
849	49	GD	CG7904	1	0	1	2	viable	2	available	"FBgn0004912
FBgn0010942
FBgn0003169
FBgn0011375
FBgn0004920
FBgn0000467"	"l(3)j5A5
AtrII
STK-C
TGF-beta-type-receptor-like
Tgf-r
TGF-beta
TGF-B
pun
DPP receptor
put
punt
PUNT
dlhC
Put
l(3)10460
Activin-A-receptor-88CD
dorsal holes C
Punt
Atr
Atr88CD
Atr-II
atrII
activin receptor type II
Act-r
activin receptor"
