CG	OMIM_ID	REF_SEQ	e_value	gene	description	disease
CG9485-PA	232400	NP_000019	0	AGL;GDE	AGL DEFICIENCY;AMYLO-1,6-GLUCOSIDASE DEFICIENCY;CORI DISEASE;FORBES DISEASE;GDE DEFICIENCY;GLYCOGEN DEBRANCHER DEFICIENCY;GLYCOGEN DEBRANCHING DEFICIENCY;LIMIT DEXTRINOSIS	Glycogen storage disease IIIa (3);Glycogen storage disease IIIb (3)
CG9485-PB	232400	NP_000019	0	AGL;GDE	AGL DEFICIENCY;AMYLO-1,6-GLUCOSIDASE DEFICIENCY;CORI DISEASE;FORBES DISEASE;GDE DEFICIENCY;GLYCOGEN DEBRANCHER DEFICIENCY;GLYCOGEN DEBRANCHING DEFICIENCY;LIMIT DEXTRINOSIS	Glycogen storage disease IIIa (3);Glycogen storage disease IIIb (3)
CG9485-PC	232400	NP_000019	0	AGL;GDE	AGL DEFICIENCY;AMYLO-1,6-GLUCOSIDASE DEFICIENCY;CORI DISEASE;FORBES DISEASE;GDE DEFICIENCY;GLYCOGEN DEBRANCHER DEFICIENCY;GLYCOGEN DEBRANCHING DEFICIENCY;LIMIT DEXTRINOSIS	Glycogen storage disease IIIa (3);Glycogen storage disease IIIb (3)
CG2316-PA	300371	NP_000024	0	ABCD1;ALD;AMN	ADRENOLEUKODYSTROPHY PROTEIN; ALDP	Adrenoleukodystrophy, 300100 (3);Adrenomyeloneuropathy, 300100 (3)
CG2316-PB	300371	NP_000024	0	ABCD1;ALD;AMN	ADRENOLEUKODYSTROPHY PROTEIN; ALDP	Adrenoleukodystrophy, 300100 (3);Adrenomyeloneuropathy, 300100 (3)
CG2316-PC	300371	NP_000024	0	ABCD1;ALD;AMN	ADRENOLEUKODYSTROPHY PROTEIN; ALDP	Adrenoleukodystrophy, 300100 (3);Adrenomyeloneuropathy, 300100 (3)
CG2316-PD	300371	NP_000024	0	ABCD1;ALD;AMN	ADRENOLEUKODYSTROPHY PROTEIN; ALDP	Adrenoleukodystrophy, 300100 (3);Adrenomyeloneuropathy, 300100 (3)
CG2316-PE	300371	NP_000024	0	ABCD1;ALD;AMN	ADRENOLEUKODYSTROPHY PROTEIN; ALDP	Adrenoleukodystrophy, 300100 (3);Adrenomyeloneuropathy, 300100 (3)
CG2316-PG	300371	NP_000024	0	ABCD1;ALD;AMN	ADRENOLEUKODYSTROPHY PROTEIN; ALDP	Adrenoleukodystrophy, 300100 (3);Adrenomyeloneuropathy, 300100 (3)
CG32626-PA	102770	NP_000027	0	AMPD1	AMP DEAMINASE	Myoadenylate deaminase deficiency (3)
CG32626-PB	102770	NP_000027	0	AMPD1	AMP DEAMINASE	Myoadenylate deaminase deficiency (3)
CG32626-PC	102770	NP_000027	0	AMPD1	AMP DEAMINASE	Myoadenylate deaminase deficiency (3)
